"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"80198","spm","N","","0","","IVPP V15912","holotype","left","scapula","","1","table","","","UNKNOWN","species","179005","obsolete variant of","Zuolong salleei","species","179005","","","35401"
"80199","spm","N","","0","","IVPP V15912","holotype","right","humerus","","1","table","","Midshaft mediolateral width; Minimum circumference","UNKNOWN","species","179005","obsolete variant of","Zuolong salleei","species","179005","","","35401"
"80200","spm","N","","0","","IVPP V15912","holotype","left","radius","","1","table","","Midshaft mediolateral width; Minimum circumference","UNKNOWN","species","179005","obsolete variant of","Zuolong salleei","species","179005","","","35401"
"80201","spm","N","","0","","IVPP V15912","holotype","left","ulna","","1","table","","Midshaft mediolateral width; Minimum circumference","UNKNOWN","species","179005","obsolete variant of","Zuolong salleei","species","179005","","","35401"
"80202","spm","N","","0","","IVPP V15912","holotype","left","femur","","1","table","","Midshaft mediolateral width; Minimum circumference","UNKNOWN","species","179005","obsolete variant of","Zuolong salleei","species","179005","","","35401"
"80203","spm","N","","0","","IVPP V15912","","right","tibia","","1","table","","Midshaft mediolateral width; Minimum circumference","UNKNOWN","species","179005","obsolete variant of","Zuolong salleei","species","179005","","","35401"
