"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"83662","spm","","408085","0","","CM 572","holotype","","femur","","1","table","","","n. gen. Haplocanthus n. sp. priscus","species","57370","recombined as","Haplocanthosaurus priscus","species","57370","157.3","145","13877"
"83663","spm","","408085","0","","CM 572","holotype","","tibia","","1","table","","","n. gen. Haplocanthus n. sp. priscus","species","57370","recombined as","Haplocanthosaurus priscus","species","57370","157.3","145","13877"
"83664","spm","","481951","34163","","","holotype","","femur","","1","table","","","Haplocanthosaurus n. sp. delfsi","species","66582","","Haplocanthosaurus delfsi","species","66582","157.3","152.1","13877"
"83665","spm","","481951","34163","","","holotype","","tibia","","1","table","","","Haplocanthosaurus n. sp. delfsi","species","66582","","Haplocanthosaurus delfsi","species","66582","157.3","152.1","13877"
