"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"56393","spm","","139260","23238","","ISIR335/57","holotype","left","scapula","","1","table","","","Titanosaurus n. sp. colberti","species","64311","recombined as","Isisaurus colberti","species","64311","72.1","66","4177"
"56394","spm","","139260","23238","","ISIR335/58","holotype","left","coracoid","","1","text","","","Titanosaurus n. sp. colberti","species","64311","recombined as","Isisaurus colberti","species","64311","72.1","66","4177"
"56395","spm","","139260","23238","","ISIR335/59","holotype","left","humerus","","1","text","","minimum transverse width","Titanosaurus n. sp. colberti","species","64311","recombined as","Isisaurus colberti","species","64311","72.1","66","4177"
"56396","spm","","139260","23238","","ISIR335/60","holotype","left","ulna","","1","text","","minimum shaft width","Titanosaurus n. sp. colberti","species","64311","recombined as","Isisaurus colberti","species","64311","72.1","66","4177"
"81990","spm","N","","0","","ISIR335/57","","left","scapula","","1","table","","","UNKNOWN","species","64311","recombined as","Isisaurus colberti","species","64311","","","4177"
"81991","spm","N","","0","","ISIR335/59","","left","humerus","","1","table","","","UNKNOWN","species","64311","recombined as","Isisaurus colberti","species","64311","","","4177"
"81992","spm","N","","0","","ISIR335/58","","","coracoid","","1","text","","","UNKNOWN","species","64311","recombined as","Isisaurus colberti","species","64311","","","4177"
"81993","spm","N","","0","","ISIR335/60","","","ulna","","1","text","","","UNKNOWN","species","64311","recombined as","Isisaurus colberti","species","64311","","","4177"
