"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"81949","spm","","980825","0","","MAU-Pv-PH-449/36","holotype","","humerus","","1","table","","Shaft minimum width mediolateral","n. gen. Petrobrasaurus n. sp. puestohernandezi","species","201031","","Petrobrasaurus puestohernandezi","species","201031","89.3","83.5","37765"
"81950","spm","","980825","0","","MAU-PvPH-449/7","holotype","right","femur","","1","table","","Shaft minimum width mediolateral","n. gen. Petrobrasaurus n. sp. puestohernandezi","species","201031","","Petrobrasaurus puestohernandezi","species","201031","89.3","83.5","37765"
"81951","spm","","980825","0","","MAU-PvPH-449/8","holotype","left","femur","","1","table","","Shaft minimum width mediolateral","n. gen. Petrobrasaurus n. sp. puestohernandezi","species","201031","","Petrobrasaurus puestohernandezi","species","201031","89.3","83.5","37765"
