"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"18591","spm","N","","0","","AMNH 11039","","","tibia","","1","table","","","UNKNOWN","species","53028","nomen dubium","Ornithomimosauria","infraorder","55491","","","34423"
"80510","spm","N","","0","","ANSP 9222","","","tibia","","1","text","","","UNKNOWN","species","53028","nomen dubium","Ornithomimosauria","infraorder","55491","","","14123"
