"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"84143","spm","","536068","0","","UFRGS PV0725T","","left","humerus","","1","text","","","Guaibasaurus candelariensis","species","66571","","Guaibasaurus candelariensis","species","66571","228","208.5","29905"
"84144","spm","","536068","0","","UFRGS PV0725T","","left","ulna","","1","text","","","Guaibasaurus candelariensis","species","66571","","Guaibasaurus candelariensis","species","66571","228","208.5","29905"
"84145","spm","","536068","0","","UFRGS PV0725T","","left","femur","","1","text","","","Guaibasaurus candelariensis","species","66571","","Guaibasaurus candelariensis","species","66571","228","208.5","29905"
