"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"83676","spm","","475143","0","","MB.R.2672","paratype","right","humerus","","1","table","","Shaft minimum width mediolateral","Barosaurus africanus","species","64728","recombined as","Tornieria africana","species","64726","152.1","145","18832"
"83677","spm","","475143","0","","SMNS 12140","holotype","right","femur","","1","table","","Shaft minimum width mediolateral","Barosaurus africanus","species","64728","recombined as","Tornieria africana","species","64726","152.1","145","18832"
"83678","spm","","475143","0","","SMNS 12142","holotype","right","fibula","","1","table","","Shaft minimum width mediolateral","Barosaurus africanus","species","64728","recombined as","Tornieria africana","species","64726","152.1","145","18832"
"83679","spm","","475143","0","","MB.R.2673","paratype","right","humerus","","1","table","","Shaft minimum width mediolateral","Barosaurus africanus","species","64728","recombined as","Tornieria africana","species","64726","152.1","145","18832"
"83680","spm","","475143","0","","MB.R.2686","paratype","right","ulna","","1","table","","Shaft minimum width mediolateral","Barosaurus africanus","species","64728","recombined as","Tornieria africana","species","64726","152.1","145","18832"
"83681","spm","","475143","0","","MB.R.2669","paratype","left","femur","","1","table","","Shaft minimum width mediolateral","Barosaurus africanus","species","64728","recombined as","Tornieria africana","species","64726","152.1","145","18832"
"83682","spm","","475143","0","","MB.R.2672","holotype","left","tibia","","1","table","","Shaft minimum width mediolateral","Barosaurus africanus","species","64728","recombined as","Tornieria africana","species","64726","152.1","145","18832"
